TeamID,TeamName,CoachID,FranchiseID,,,FranchiseID,FranchiseName,FranchiseOwner
T01,Chennai Super Kings,C001,F01,,,F01,Chennai Super Kings,Chennai Super Kings Cricket Ltd.
T02,Deccan Chargers,C002,F02,,,F02,Deccan Chargers,Deccan Chronicle Holdings Limited
T03,Delhi Capitals,C003,F03,,,F03,Delhi Capitals,GMR Sports Pvt Ltd
T04,Delhi Daredevils,C004,F04,,,F04,Delhi Daredevils,GMR Sports Pvt Ltd
T05,Gujarat Lions,C005,F05,,,F05,Gujarat Lions,Intex Technologies
T06,Gujarat Titans,C006,F06,,,F06,Gujarat Titans,Uday Kotak
T07,Kings XI Punjab,C007,F07,,,F07,Kings XI Punjab,KPH Dream Cricket Private Limited
T08,Kochi Tuskers Kerala,C008,F08,,,F08,Kochi Tuskers Kerala,Kochi Cricket Pvt Ltd
T09,Kolkata Knight Riders,C009,F09,,,F09,Kolkata Knight Riders,Knight Riders Sports Private Ltd
T10,Lucknow Super Giants,C010,F10,,,F10,Lucknow Super Giants,RPSG Group
T11,Mumbai Indians,C011,F11,,,F11,Mumbai Indians,Reliance Industries
T12,Pune Warriors,C012,F12,,,F12,Pune Warriors,Sahara Adventure Sports Limited
T13,Punjab Kings,C013,F13,,,F13,Punjab Kings,"Mohit Burman, Ness Wadia, Preity Zinta, and Karan Paul"
T14,Rajasthan Royals,C014,F14,,,F14,Rajasthan Royals,Manoj Badale
T15,Rising Pune Supergiant,C015,F15,,,F15,Rising Pune Supergiant,RP-Sanjiv Goenka Group
T16,Rising Pune Supergiants,C016,F16,,,F16,Rising Pune Supergiants,RP-Sanjiv Goenka Group
T17,Royal Challengers Bangalore,C017,F17,,,F17,Royal Challengers Bangalore,United Spirits Limited
T18,Sunrisers Hyderabad,C018,F18,,,F18,Sunrisers Hyderabad,Sun TV Network
